label,text
negatif,Sunyi sepi sendiri Sejak kau tinggal pergi Tiada kabar berita Hidupku merana Berdebar hatiku Terima sepucuk suratmu Ku membacanya dan kecewa Hampa kini harapan Kekasih tak kembali Ku terima undangan Esok akan mengikat janji Sahabat karibku Yang menawan hatiku Ku doakan sâ€™moga bahagia Hampa kini harapan Kekasih tak kembali Ku terima undangan Esok akan mengikat janji Sahabat karibku Yang menawan hatiku Ku doakan sâ€™lamat bahagia Ku doakan sâ€™moga bahagia
negatif,"Dimana, akan ku cari Aku menangis seorang diri Hatiku slalu ingin bertemu Untukmu aku bernyayi Untuk ayah tercinta Aku ingin bernyanyi Walau air mata Di pipiku Ayah dengarkanlahAku ingin berjumpa Walau hanya dalam Mimpi.. Lihatlah, hari berganti Namun tiada seindah dulu Datanglah, aku ingin bertemu Untukmu, aku bernyanyi Untuk ayah tercinta Aku ingin bernyanyi Walau air mata Di pipiku Ayah dengarkanlah Aku ingin berjumpa Walau hanya dalam Mimpi."
positif,Rinai hujan basahi aku temani sepi yang mengendap kala aku mengingatmu dan semua saat manis itu Segalanya seperti mimpi kujalani hidup sendiri andai waktu berganti aku tetap tak'kan berubah Aku selalu bahagia saat hujan turun karena aku dapat mengenangmu untukku sendiri ooohhh..ooo Selalu ada cerita tersimpan di hatiku tentang kau dan hujan tentang cinta kita yang mengalir seperti air Aku selalu bahagia saat hujan turun karena aku dapat mengenangmu untukku sendiri ooohhh..ooo Aku bisa tersenyum sepanjang hari karena hujan pernah menahanmu disini untukku ooohhh..
positif,Kutuliskan kenangan tentang caraku menemukan dirimu Tentang apa yang membuatku mudah berikan hatiku padamu Takkan habis sejuta lagu untuk menceritakan cantikmu Kan teramat panjang puisi tuk menyuratkan cinta ini Telah habis sudah cinta ini tak lagi tersisa untuk dunia Karena telah kuhabiskan sisa cintaku hanya untukmu Aku pernah berpikir tentang hidupku tanpa ada dirimu Dapatkah lebih indah dari yang kujalani sampai kini? Aku selalu bermimpi tentang indah hari tua bersamamu Tetap cantik rambut panjangmu meskipun nanti tak hitam lagi Bila habis sudah waktu ini tak lagi berpijak pada dunia Telah aku habiskan sisa hidupku hanya untukmu Dan telah habis sudah cinta ini tak lagi tersisa untuk dunia Karena telah kuhabiskan sisa cintaku hanya untukmu Untukmuâ€¦
negatif,Ku tak bahagia melihat kau bahagia dengannya Aku terluka tak bisa dapatkan kau sepenuhnya Aku terluka melihat kau bermesraan dengannya Ku tak bahagia melihat kau bahagia Harusnya aku yang di sana dampingimu dan bukan dia Harusnya aku yang kau cinta dan bukan dia Harusnya kau tahu bahwa cintaku lebih darinya Harusnya yang kau pilih bukan dia 
positif,Sendiri Sendiri kudiam Diam dan merenung Merenungkan jalan Yang kan membawaku pergi Pergi tuk menjauh Menjauh darimu Darimu yang mulai berhenti Berhenti mencoba Mencoba bertahan Bertahan untuk terus bersamaku Kuberlari kau terdiam Ku menangis kau tersenyum Kuberduka kau bahagia Kupergi kau kembali Kucoba meraih mimpi Kau coba tuk hentikan mimpi Memang kita takkan menyatu O o o o oh Bayangkan Bayangkan ku hilang Hilang tak kembali Kembali untuk mempertanyakan lagi cinta Cintamu yang mungkin Mungkin tak berarti Berarti untuk kurindukan
positif,Sakit rasanya putus cinta Sesaknya di dada Membuat kita jadi gegana Gelisah Galau Merana Mendingan kita happy aja Lupakan semua Marilah kita goyang bersama Goyang Dumang namanya Ayo Goyang Dumang biar hati senang Pikiran pun tenang galau jadi hilang Ayo Goyang Dumang biar hati senang Semua masalah jadi hilang Ayo Goyang Dumang biar hati senang Pikiran pun tenang galau jadi hilang Ayo Goyang Dumang biar hati senang Semua masalah jadi hilang Ayo Goyang Dumang Ayo Goyang Dumang Sakit rasanya putus cinta Sesaknya di dada Membuat kita jadi gegana Gelisah Galau Merana
negatif,Apa jadinya hati yang terbagi Diseparuh perjalananku Rusaklah sudah cinta putih ini Keinginan tiada sejalan Dengan kenyataan hidup Betapa ku pasrahkan hatiku Betapa aku mencintaimu Tapi apa yang kau beri untukku Kau tukar semua dengan luka Dan kesakitan ku Khianati Sebisa dirimu mengkhianati Karena kupastikan kelak kau Mohon aku Untuk kembali padamu lagi Betapa ku pasrahkan hatiku Betapa aku mencintaimu Tapi apa yang kau beri untukku Kau tukar semua dengan luka Dan kesakitan ku Khianati Sebisa dirimu…
negatif,Maukah lagi kau mengulang ragu Dan sendu yang lama Dia yang dulu pernah bersamamu Memahat kecewa Atau kau inginkan yang baru Sungguh menyayangimu Aku ingin dirimu Yang menjadi milikku Bersamaku mulai hari ini Hilang ruang untuk cinta yang lain Separuh jalan pernah dilewati Meski ada kecewa Aku yang dulu tak begitu lagi Takkan ku ulangi Jangan duluan kau berpaling Beri ku kesempatan Aku ingin dirimu Tetap jadi milikku Bersama ku mulai hari baru Hilang ruang untuk cinta yang lain Lupakan dia pergi denganku Lupakanlah ragu denganku Ooooo Aku Aku ingin dirimu Aku ingin dirimu Tetap jadi
positif,Dan terjadi lagi Kisah lama yang terulang kembali Kau terluka lagi Dari cinta rumit yang kau jalani Aku ingin kau merasa Kamu mengerti aku mengerti kamu Aku ingin kau sadari Cintamu bukanlah di Dengar laraku Suara hati memanggil namamu Karena separuh aku Dirimu Ku ada di sini Pahamilah kau tak pernah sendiri Karena aku selalu Di dekatmu saat engkau terjatuh Aku ingin kau merasa Kamu mengerti aku mengerti kamu Aku ingin kau sadari Cintamu bukanlah dia Dengar
