label,text,alasan
negatif,Ku tak bahagia melihat kau bahagia dengannya Aku terluka tak bisa dapatkan kau sepenuhnya Aku terluka melihat kau bermesraan dengannya Ku tak bahagia melihat kau bahagia Harusnya aku yang di sana dampingimu dan bukan dia Harusnya aku yang kau cinta dan bukan dia Harusnya kau tahu bahwa cintaku lebih darinya Harusnya yang kau pilih bukan dia ,lagu patah hati
negatif,Sendiri Sendiri kudiam Diam dan merenung Merenungkan jalan Yang kan membawaku pergi Pergi tuk menjauh Menjauh darimu Darimu yang mulai berhenti Berhenti mencoba Mencoba bertahan Bertahan untuk terus bersamaku Kuberlari kau terdiam Ku menangis kau tersenyum Kuberduka kau bahagia Kupergi kau kembali Kucoba meraih mimpi Kau coba tuk hentikan mimpi Memang kita takkan menyatu O o o o oh Bayangkan Bayangkan ku hilang Hilang tak kembali Kembali untuk mempertanyakan lagi cinta Cintamu yang mungkin Mungkin tak berarti Berarti untuk kurindukan,lagu patah hati
negatif,Sakit rasanya putus cinta Sesaknya di dada Membuat kita jadi gegana Gelisah Galau Merana Mendingan kita happy aja Lupakan semua Marilah kita goyang bersama Goyang Dumang namanya Ayo Goyang Dumang biar hati senang Pikiran pun tenang galau jadi hilang Ayo Goyang Dumang biar hati senang Semua masalah jadi hilang Ayo Goyang Dumang biar hati senang Pikiran pun tenang galau jadi hilang Ayo Goyang Dumang biar hati senang Semua masalah jadi hilang Ayo Goyang Dumang Ayo Goyang Dumang Sakit rasanya putus cinta Sesaknya di dada Membuat kita jadi gegana Gelisah Galau Merana,lagu patah hati
negatif,Apa jadinya hati yang terbagi Diseparuh perjalananku Rusaklah sudah cinta putih ini Keinginan tiada sejalan Dengan kenyataan hidup Betapa ku pasrahkan hatiku Betapa aku mencintaimu Tapi apa yang kau beri untukku Kau tukar semua dengan luka Dan kesakitan ku Khianati Sebisa dirimu mengkhianati Karena kupastikan kelak kau Mohon aku Untuk kembali padamu lagi Betapa ku pasrahkan hatiku Betapa aku mencintaimu Tapi apa yang kau beri untukku Kau tukar semua dengan luka Dan kesakitan ku Khianati Sebisa dirimu?,lagu patah hati
negatif,Maukah lagi kau mengulang ragu Dan sendu yang lama Dia yang dulu pernah bersamamu Memahat kecewa Atau kau inginkan yang baru Sungguh menyayangimu Aku ingin dirimu Yang menjadi milikku Bersamaku mulai hari ini Hilang ruang untuk cinta yang lain Separuh jalan pernah dilewati Meski ada kecewa Aku yang dulu tak begitu lagi Takkan ku ulangi Jangan duluan kau berpaling Beri ku kesempatan Aku ingin dirimu Tetap jadi milikku Bersama ku mulai hari baru Hilang ruang untuk cinta yang lain Lupakan dia pergi denganku Lupakanlah ragu denganku Ooooo Aku Aku ingin dirimu Aku ingin dirimu Tetap jadi,lagu patah hati
negatif,Dan terjadi lagi Kisah lama yang terulang kembali Kau terluka lagi Dari cinta rumit yang kau jalani Aku ingin kau merasa Kamu mengerti aku mengerti kamu Aku ingin kau sadari Cintamu bukanlah di Dengar laraku Suara hati memanggil namamu Karena separuh aku Dirimu Ku ada di sini Pahamilah kau tak pernah sendiri Karena aku selalu Di dekatmu saat engkau terjatuh Aku ingin kau merasa Kamu mengerti aku mengerti kamu Aku ingin kau sadari Cintamu bukanlah dia Dengar,lagu patah hati
positif,"Lama sudah ku menanti Banyak cinta datang dan pergi Tapi tak pernah aku senyaman ini Mungkin dirimulah cinta sejati Tak akan kuragu lagi Kujaga sampai ke ujung nadi Takkan kusia siakan lagi Buat hidupku lebih berarti Cintamu senyaman mentari pagi Seperti pelangi, slalu kunanti Cintamu tak akan pernah terganti Selamanya di hati Aku bahagia, milikimu seutuhnya Tak akan kuragu lagi Kujaga sampai ke ujung nadi Takkan kusia siakan lagi Buat hidupku lebih berarti Cintamu senyaman mentari pagi Seperti pelangi, slalu kunanti Cintamu tak akan pernah terganti Selamanya di hati Aku bahagia, milikimu seutuhnya Takkan kusia siakan lagi Buat hidupku lebih berarti Cintamu senyaman mentari pagi Seperti pelangi, slalu kunanti Cintamu tak akan pernah terganti Selamanya di hati Aku bahagia, milikimu seutuhnya Cintamu senyaman mentari pagi Seperti pelangi, slalu kunanti Cintamu tak akan pernah terganti Selamanya di hati Aku bahagia, milikimu seutuhnya Aku bahagia, milikimu seutuhnya Aku bahagia, milikimu seutuhnya ",lagu kasmaran
positif,"lets go lets go lets go one two three four eeny meeny miny moe hey lets go im a go with my fans, with my crew that could be including you yeah it?s fine yeah it?s nice day and night i?m riding by hey hey kawan bersiaplah waktu kita pun telah tiba mari kita bersepeda mari kita cerahkan hari uw uw asyiknya bila bersepeda uw uw berkeliling kota jakarta uw uw ku kayuh dengan suka cita uw uw ku rasakan indah dunia bila ku pergi bersepeda bersama riang gembira senangnya hatiku saat bersepeda kayuh kayuh sepedaku oh tanpa sedikitpun ragu ku merasa ku merasa hari ini hari ini indah dan kan cerahkan hariku",lagu bersukaria saat bersepeda
positif,Saat kita jumpa Ada rasa di dalam dada Kau tersenyum manja Membuatku terpana Akupun tak kuasa Tuk menahan gejolak ini Ingin kukatakan Aku menyukaimu Hanya dirimu Yang aku suka Terpesona Ku pada pandangan Pertama Dan ku tak kuasa Menahan rinduku Senyumanmu Slalu menghiasi mimpiku Ingin kupeluk Dan kukecup keningmu Oh indahnya Kini kurasakan Getaran cinta dalam dada Kuingin bersamamu Untuk selamanya Hanya dirimu Yang aku cinta Terpesona Ku pada pandangan Pertama Dan ku tak kuasa Menahan rinduku Senyumanmu Slalu menghiasi mimpiku Ingin kupeluk Dan kukecup keningmu Hoo Indahnya,lagu seseorang yang jatuh cinta
positif,"Cantik Ingin rasa hati berbisik Untuk melepas keresahan Dirimu O.o.Cantik... Bukan kuingin mengganggumu Tapi apa arti merindu Selalu, Walau mentari terbit di utara Hatiku hanya untukmu... Ada hati yang termanis dan penuh cinta Tentu saja kan kubalas seisi jiwa Tiada lagiTiada lagi yang ganggu kita Ini kesungguhan Sungguh aku sayang kamuO.o.Cantik...Bukan kuingin mengganggumu Tapi apa arti merindu Selalu, Ooo...Walau mentari terbit di utara Hatiku hanya untukmu...Ada hati yang termanis dan penuh cinta Tentu saja kan kubalas seisi jiwa Tiada lagi Tiada lagi yang ganggu kitaIni kesungguhan Sungguh aku sayang kamu Ingin ku berjalan menyusuri cinta Cinta yang abadi untukmu selamanya...Heeeei... heya ya ya heya ya ya heya...Ada hati yang",lagu memuji seorang wanita
positif,Baru kusadari Kita beranjak dewasa dan Tak pernah kualami Kasih cinta seperti ini Seperti ini Kucoba tuk pahami Cinta apa dihati ini Agar ku mencintaimu Untuk selamanya Untuk selamanya Berikan aku Ciuman pertamamu Agar kuyakin Kau memanglah milikku Kau mungkin bukanlah cinta pertamaku Namun kau pasti Namun kau pasti cinta terakhirku Pasti kutahu kau memang yang terbaik untukku Cintaku bukanlah cinta terlarang untuk kau mengerti Kau mengerti Berikan aku Ciuman pertamamu Agar kuyakin Kau memanglah miliku Kau mungkin bukanlah cinta pertamaku Namun kau pasti Namun kau pasti Berikan aku ciuman pertamamu Agar kuyakin Kau memanglah miliku Kau mungkin bukanlah  Cinta pertamaku Namun kau pasti Namun kau pasti cinta terakhirku,lagu kasmaran
